variant,correct,time_ms,logical_bytes,persisting_l2,run
compact_u8_producer_warm_l2_experimental,yes,0.037897,67108864,no,0
compact_u8_producer_after_l2_thrash_experimental,yes,0.070532,67108864,no,0
compact_u8_producer_persisting_input_experimental,yes,0.022076,67108864,yes,0
compact_u8_producer_persisting_input_after_l2_thrash_experimental,yes,0.024294,67108864,yes,0
compact_u8_producer_uint4_experimental,yes,0.017039,67108864,no,0
compact_u8_producer_uint4_persisting_input_experimental,yes,0.016916,67108864,yes,0
consume_u8_after_producer_warm_l2_experimental,yes,0.026927,100663296,no,0
consume_u8_after_l2_thrash_experimental,yes,0.075802,100663296,no,0
consume_u8_after_persisting_l2_experimental,yes,0.023674,100663296,yes,0
consume_u8_after_persisting_l2_thrash_experimental,yes,0.042993,100663296,yes,0
consume_u8_uint4_after_producer_warm_l2_experimental,yes,0.131511,100663296,no,0
consume_u8_uint4_after_persisting_l2_experimental,yes,0.131472,100663296,yes,0
compact_u8_producer_consumer_total_experimental,yes,0.053782,167772160,no,0
compact_u8_producer_consumer_persisting_l2_total_experimental,yes,0.045991,167772160,yes,0
compact_u8_producer_uint4_consumer_total_experimental,yes,0.050812,167772160,no,0
compact_u8_producer_uint4_consumer_persisting_l2_total_experimental,yes,0.041796,167772160,yes,0
compact_u8_producer_warm_l2_experimental,yes,0.038135,67108864,no,1
compact_u8_producer_after_l2_thrash_experimental,yes,0.070563,67108864,no,1
compact_u8_producer_persisting_input_experimental,yes,0.0226,67108864,yes,1
compact_u8_producer_persisting_input_after_l2_thrash_experimental,yes,0.024363,67108864,yes,1
compact_u8_producer_uint4_experimental,yes,0.017323,67108864,no,1
compact_u8_producer_uint4_persisting_input_experimental,yes,0.016879,67108864,yes,1
consume_u8_after_producer_warm_l2_experimental,yes,0.026881,100663296,no,1
consume_u8_after_l2_thrash_experimental,yes,0.075816,100663296,no,1
consume_u8_after_persisting_l2_experimental,yes,0.023612,100663296,yes,1
consume_u8_after_persisting_l2_thrash_experimental,yes,0.043148,100663296,yes,1
consume_u8_uint4_after_producer_warm_l2_experimental,yes,0.131725,100663296,no,1
consume_u8_uint4_after_persisting_l2_experimental,yes,0.13179,100663296,yes,1
compact_u8_producer_consumer_total_experimental,yes,0.053669,167772160,no,1
compact_u8_producer_consumer_persisting_l2_total_experimental,yes,0.046124,167772160,yes,1
compact_u8_producer_uint4_consumer_total_experimental,yes,0.05063,167772160,no,1
compact_u8_producer_uint4_consumer_persisting_l2_total_experimental,yes,0.041912,167772160,yes,1
compact_u8_producer_warm_l2_experimental,yes,0.037916,67108864,no,2
compact_u8_producer_after_l2_thrash_experimental,yes,0.070162,67108864,no,2
compact_u8_producer_persisting_input_experimental,yes,0.022403,67108864,yes,2
compact_u8_producer_persisting_input_after_l2_thrash_experimental,yes,0.024322,67108864,yes,2
compact_u8_producer_uint4_experimental,yes,0.017103,67108864,no,2
compact_u8_producer_uint4_persisting_input_experimental,yes,0.016838,67108864,yes,2
consume_u8_after_producer_warm_l2_experimental,yes,0.027083,100663296,no,2
consume_u8_after_l2_thrash_experimental,yes,0.075769,100663296,no,2
consume_u8_after_persisting_l2_experimental,yes,0.023541,100663296,yes,2
consume_u8_after_persisting_l2_thrash_experimental,yes,0.04339,100663296,yes,2
consume_u8_uint4_after_producer_warm_l2_experimental,yes,0.131584,100663296,no,2
consume_u8_uint4_after_persisting_l2_experimental,yes,0.131711,100663296,yes,2
compact_u8_producer_consumer_total_experimental,yes,0.053768,167772160,no,2
compact_u8_producer_consumer_persisting_l2_total_experimental,yes,0.045867,167772160,yes,2
compact_u8_producer_uint4_consumer_total_experimental,yes,0.050821,167772160,no,2
compact_u8_producer_uint4_consumer_persisting_l2_total_experimental,yes,0.041981,167772160,yes,2
