config_id,variant,correct,median_ms,speedup_vs_best_default,threads_per_block,blocks_per_sm,items_per_thread,maxrregcount,effective_bandwidth_gbps
0,vector4_coalesced_fast,True,0.1871,0.9828968466060931,256,32,1,,2869.4329877071086
0,vector4_ilp_fast,True,0.1872,0.9823717948717949,256,32,1,,2867.900170940171
0,scalar_coalesced_fast,True,0.7282,0.25254051084866797,256,32,1,,737.2575006866247
1,vector4_coalesced_fast,True,0.1871,0.9828968466060931,512,16,1,,2869.4329877071086
1,vector4_ilp_fast,True,0.1869,0.9839486356340289,512,16,1,,2872.50354200107
1,scalar_coalesced_fast,True,0.7248,0.2537251655629139,512,16,1,,740.7159381898455
2,vector4_coalesced_fast,True,0.185,0.9940540540540541,512,32,1,,2902.00492972973
2,vector4_ilp_fast,True,0.1849,0.9945916711736074,512,32,1,,2903.5744294213087
2,scalar_coalesced_fast,True,0.7193,0.2556652300848047,512,32,1,,746.3796913666063
3,vector4_coalesced_fast,True,0.1839,1.0,512,48,1,,2919.3633061446435
3,vector4_ilp_fast,True,0.1848,0.9951298701298702,512,48,1,,2905.1456277056277
3,scalar_coalesced_fast,True,0.7175,0.25630662020905925,512,48,1,,748.2521421602787
4,vector4_coalesced_fast,True,0.1876,0.9802771855010662,1024,16,1,,2861.7852452025586
4,vector4_ilp_fast,True,0.1884,0.9761146496815286,1024,16,1,,2849.6332908704876
4,scalar_coalesced_fast,True,0.7198,0.25548763545429287,1024,16,1,,745.8612281189219
5,vector4_coalesced_fast,True,0.185,0.9940540540540541,512,32,2,,2902.00492972973
5,vector4_ilp_fast,True,0.185,0.9940540540540541,512,32,2,,2902.00492972973
5,scalar_coalesced_fast,True,0.7195,0.25559416261292567,512,32,2,,746.1722195969422
6,vector4_coalesced_fast,True,0.1851,0.9935170178282011,512,32,4,,2900.437125877904
6,vector4_ilp_fast,True,0.1859,0.9892415277030662,512,32,4,,2887.955416890801
6,scalar_coalesced_fast,True,0.7192,0.2557007786429366,512,32,4,,746.4834705228033
7,vector4_coalesced_fast,True,0.1849,0.9945916711736074,512,32,1,24,2903.5744294213087
7,vector4_ilp_fast,True,0.185,0.9940540540540541,512,32,1,24,2902.00492972973
7,scalar_coalesced_fast,True,0.7193,0.2556652300848047,512,32,1,24,746.3796913666063
8,vector4_coalesced_fast,True,0.1852,0.9929805615550756,512,32,1,32,2898.8710151187906
8,vector4_ilp_fast,True,0.185,0.9940540540540541,512,32,1,32,2902.00492972973
8,scalar_coalesced_fast,True,0.7193,0.2556652300848047,512,32,1,32,746.3796913666063
