==PROF== Connected to process 18823 (/home/sesterce/cuda-kernel-gen/optimized.x)
GPU: NVIDIA RTX PRO 6000 Blackwell Server Edition, compute capability 12.0, SMs 188
allocated 784.00 MB on GPU
allocated 1552.00 MB on CPU
variant,correct,time_ms,logical_bytes
original_row_stride,yes,  6.5717,536870912
scalar_coalesced_fast,yes,  0.5090,536870912
vector4_coalesced_fast,yes,  0.3125,536870912
vector4_ilp_fast,yes,  0.3434,536870912
vector4_poly5_fixed_range_experimental,yes,  0.3130,536870912
vector4_poly5_unchecked_fixed_range_experimental,yes,  0.3115,536870912
vector4_poly5_sparse_fixed_range_experimental,yes,  0.3115,536870912
vector4_affine_sparse_fixed_range_experimental,yes,  0.3113,536870912
vector4_affine_loaded_fixed_range_experimental,yes,  0.3114,536870912
vector4_affine_half_output_loaded_experimental,yes,  0.2559,402653184
vector4_affine_half_output_sparse_experimental,yes,  0.2558,268435456
vector4_affine_half_output_packed_experimental,yes,  0.2555,402653184
compact_xw_affine_half_output_experimental,yes,  0.1703,268435456
Error half output doesn't match at iy=0, ix=7.
gold: 6.916928, device: 6.906250
rdiff: 0.001544
compact_half_xw_affine_half_output_expected_fail,no_expected,  0.1196,201326592
compact_u16_xw_affine_half_output_experimental,yes,  0.1213,201326592
compact_u8_xw_affine_half_output_experimental,yes,  0.1021,167772160
compact_u8_xw_affine_u8_xw_output_experimental,yes,  0.0283,67108864
decode_u8_xw_output_to_float_experimental,yes,  0.2007,301989888
consume_float_output_experimental,yes,  0.2117,335544320
consume_u8_xw_output_experimental,yes,  0.0307,100663296
Error half output doesn't match at iy=0, ix=7.
gold: 6.916928, device: 6.925781
rdiff: 0.001280
compact_u4_xw_affine_half_output_expected_fail,no_expected,  0.0986,150994944
CUDA: no error
==PROF== Disconnected from process 18823
