==PROF== Connected to process 18514 (/home/sesterce/cuda-kernel-gen/optimized.x)
GPU: NVIDIA RTX PRO 6000 Blackwell Server Edition, compute capability 12.0, SMs 188
allocated 784.00 MB on GPU
allocated 1552.00 MB on CPU
variant,correct,time_ms,logical_bytes
original_row_stride,yes,  6.5828,536870912
scalar_coalesced_fast,yes,  0.5097,536870912
vector4_coalesced_fast,yes,  0.3110,536870912
vector4_ilp_fast,yes,  0.3423,536870912
vector4_poly5_fixed_range_experimental,yes,  0.3108,536870912
vector4_poly5_unchecked_fixed_range_experimental,yes,  0.3108,536870912
vector4_poly5_sparse_fixed_range_experimental,yes,  0.3105,536870912
vector4_affine_sparse_fixed_range_experimental,yes,  0.3107,536870912
vector4_affine_loaded_fixed_range_experimental,yes,  0.3112,536870912
vector4_affine_half_output_loaded_experimental,yes,  0.2552,402653184
vector4_affine_half_output_sparse_experimental,yes,  0.2549,268435456
vector4_affine_half_output_packed_experimental,yes,  0.2548,402653184
compact_xw_affine_half_output_experimental,yes,  0.1673,268435456
Error half output doesn't match at iy=0, ix=7.
gold: 6.916928, device: 6.906250
rdiff: 0.001544
compact_half_xw_affine_half_output_expected_fail,no_expected,  0.1192,201326592
compact_u16_xw_affine_half_output_experimental,yes,  0.1206,201326592
compact_u8_xw_affine_half_output_experimental,yes,  0.1016,167772160
compact_u8_xw_affine_u8_xw_output_experimental,yes,  0.0241,67108864
decode_u8_xw_output_to_float_experimental,yes,  0.1987,301989888
consume_float_output_experimental,yes,  0.2099,335544320
consume_u8_xw_output_experimental,yes,  0.0278,100663296
Error half output doesn't match at iy=0, ix=7.
gold: 6.916928, device: 6.925781
rdiff: 0.001280
compact_u4_xw_affine_half_output_expected_fail,no_expected,  0.0968,150994944
CUDA: no error
==PROF== Disconnected from process 18514
