run,variant,correct,time_ms,dimx,dimy,nreps,logical_bytes,speedup_vs_original_row_stride,effective_bandwidth_gbps
0,original_row_stride,yes,6.574600,8192,8192,100,536870912,1.000000,81.658
0,scalar_coalesced_fast,yes,0.508200,8192,8192,100,536870912,12.937033,1056.417
0,vector4_coalesced_fast,yes,0.309400,8192,8192,100,536870912,21.249515,1735.200
0,vector4_ilp_fast,yes,0.342200,8192,8192,100,536870912,19.212741,1568.881
0,vector4_poly5_fixed_range_experimental,yes,0.309000,8192,8192,100,536870912,21.277023,1737.446
0,vector4_poly5_unchecked_fixed_range_experimental,yes,0.309200,8192,8192,100,536870912,21.263260,1736.322
0,vector4_poly5_sparse_fixed_range_experimental,yes,0.309200,8192,8192,100,536870912,21.263260,1736.322
0,vector4_affine_sparse_fixed_range_experimental,yes,0.309000,8192,8192,100,536870912,21.277023,1737.446
0,vector4_affine_loaded_fixed_range_experimental,yes,0.308900,8192,8192,100,536870912,21.283911,1738.009
0,vector4_affine_half_output_loaded_experimental,yes,0.257200,8192,8192,100,402653184,25.562208,1565.526
0,vector4_affine_half_output_sparse_experimental,yes,0.256700,8192,8192,100,268435456,25.611998,1045.717
0,vector4_affine_half_output_packed_experimental,yes,0.256600,8192,8192,100,402653184,25.621980,1569.186
0,compact_xw_affine_half_output_experimental,yes,0.168200,8192,8192,100,268435456,39.087990,1595.930
0,compact_half_xw_affine_half_output_expected_fail,no_expected,0.120800,8192,8192,100,201326592,54.425497,1666.611
0,compact_u16_xw_affine_half_output_experimental,yes,0.123500,8192,8192,100,201326592,53.235628,1630.175
0,compact_u8_xw_affine_half_output_experimental,yes,0.104300,8192,8192,100,167772160,63.035475,1608.554
0,compact_u8_xw_affine_u8_xw_output_experimental,yes,0.024000,8192,8192,100,67108864,273.941667,2796.203
0,decode_u8_xw_output_to_float_experimental,yes,0.196300,8192,8192,100,301989888,33.492613,1538.410
0,consume_float_output_experimental,yes,0.211600,8192,8192,100,335544320,31.070888,1585.748
0,consume_u8_xw_output_experimental,yes,0.026400,8192,8192,100,100663296,249.037879,3813.004
0,compact_u4_xw_affine_half_output_expected_fail,no_expected,0.099300,8192,8192,100,150994944,66.209466,1520.594
0,pack_xw_setup_experimental,yes,0.256500,8192,8192,100,402653184,25.631969,1569.798
0,compact_xw_with_gpu_pack_pipeline_experimental,yes,0.443800,8192,8192,100,536870912,14.814331,1209.714
0,pack_u16_xw_setup_experimental,yes,0.210600,8192,8192,100,335544320,31.218424,1593.278
0,compact_u16_xw_with_gpu_pack_pipeline_experimental,yes,0.352700,8192,8192,100,469762048,18.640771,1331.903
0,pack_u8_xw_setup_experimental,yes,0.182100,8192,8192,100,301989888,36.104338,1658.374
0,compact_u8_xw_with_gpu_pack_pipeline_experimental,yes,0.309600,8192,8192,100,436207616,21.235788,1408.939
0,compact_u8_xw_u8_output_with_gpu_pack_pipeline_experimental,yes,0.248700,8192,8192,100,335544320,26.435867,1349.193
0,compact_u8_xw_u8_output_decode_with_gpu_pack_pipeline_experimental,yes,0.435000,8192,8192,100,603979776,15.114023,1388.459
0,vector4_affine_loaded_float_consumer_pipeline_experimental,yes,0.578400,8192,8192,100,872415232,11.366874,1508.325
0,compact_u8_xw_u8_output_consumer_with_gpu_pack_pipeline_experimental,yes,0.286500,8192,8192,100,469762048,22.947993,1639.658
1,original_row_stride,yes,6.595800,8192,8192,100,536870912,1.000000,81.396
1,scalar_coalesced_fast,yes,0.509900,8192,8192,100,536870912,12.935478,1052.895
1,vector4_coalesced_fast,yes,0.309900,8192,8192,100,536870912,21.283640,1732.400
1,vector4_ilp_fast,yes,0.342600,8192,8192,100,536870912,19.252189,1567.049
1,vector4_poly5_fixed_range_experimental,yes,0.309300,8192,8192,100,536870912,21.324927,1735.761
1,vector4_poly5_unchecked_fixed_range_experimental,yes,0.309600,8192,8192,100,536870912,21.304264,1734.079
1,vector4_poly5_sparse_fixed_range_experimental,yes,0.309500,8192,8192,100,536870912,21.311147,1734.639
1,vector4_affine_sparse_fixed_range_experimental,yes,0.309500,8192,8192,100,536870912,21.311147,1734.639
1,vector4_affine_loaded_fixed_range_experimental,yes,0.309700,8192,8192,100,536870912,21.297385,1733.519
1,vector4_affine_half_output_loaded_experimental,yes,0.257500,8192,8192,100,402653184,25.614757,1563.702
1,vector4_affine_half_output_sparse_experimental,yes,0.257300,8192,8192,100,268435456,25.634668,1043.278
1,vector4_affine_half_output_packed_experimental,yes,0.257100,8192,8192,100,402653184,25.654609,1566.135
1,compact_xw_affine_half_output_experimental,yes,0.168900,8192,8192,100,268435456,39.051510,1589.316
1,compact_half_xw_affine_half_output_expected_fail,no_expected,0.121100,8192,8192,100,201326592,54.465731,1662.482
1,compact_u16_xw_affine_half_output_experimental,yes,0.124200,8192,8192,100,201326592,53.106280,1620.987
1,compact_u8_xw_affine_half_output_experimental,yes,0.104600,8192,8192,100,167772160,63.057361,1603.940
1,compact_u8_xw_affine_u8_xw_output_experimental,yes,0.024400,8192,8192,100,67108864,270.319672,2750.363
1,decode_u8_xw_output_to_float_experimental,yes,0.196800,8192,8192,100,301989888,33.515244,1534.501
1,consume_float_output_experimental,yes,0.212200,8192,8192,100,335544320,31.082941,1581.264
1,consume_u8_xw_output_experimental,yes,0.026500,8192,8192,100,100663296,248.898113,3798.615
1,compact_u4_xw_affine_half_output_expected_fail,no_expected,0.099600,8192,8192,100,150994944,66.222892,1516.013
1,pack_xw_setup_experimental,yes,0.257000,8192,8192,100,402653184,25.664591,1566.744
1,compact_xw_with_gpu_pack_pipeline_experimental,yes,0.444000,8192,8192,100,536870912,14.855405,1209.169
1,pack_u16_xw_setup_experimental,yes,0.211000,8192,8192,100,335544320,31.259716,1590.257
1,compact_u16_xw_with_gpu_pack_pipeline_experimental,yes,0.353400,8192,8192,100,469762048,18.663837,1329.264
1,pack_u8_xw_setup_experimental,yes,0.182600,8192,8192,100,301989888,36.121577,1653.833
1,compact_u8_xw_with_gpu_pack_pipeline_experimental,yes,0.309600,8192,8192,100,436207616,21.304264,1408.939
1,compact_u8_xw_u8_output_with_gpu_pack_pipeline_experimental,yes,0.248900,8192,8192,100,335544320,26.499799,1348.109
1,compact_u8_xw_u8_output_decode_with_gpu_pack_pipeline_experimental,yes,0.435900,8192,8192,100,603979776,15.131452,1385.593
1,vector4_affine_loaded_float_consumer_pipeline_experimental,yes,0.578600,8192,8192,100,872415232,11.399585,1507.804
1,compact_u8_xw_u8_output_consumer_with_gpu_pack_pipeline_experimental,yes,0.286900,8192,8192,100,469762048,22.989892,1637.372
2,original_row_stride,yes,6.599000,8192,8192,100,536870912,1.000000,81.356
2,scalar_coalesced_fast,yes,0.510100,8192,8192,100,536870912,12.936679,1052.482
2,vector4_coalesced_fast,yes,0.310100,8192,8192,100,536870912,21.280232,1731.283
2,vector4_ilp_fast,yes,0.342300,8192,8192,100,536870912,19.278411,1568.422
2,vector4_poly5_fixed_range_experimental,yes,0.309300,8192,8192,100,536870912,21.335273,1735.761
2,vector4_poly5_unchecked_fixed_range_experimental,yes,0.309700,8192,8192,100,536870912,21.307717,1733.519
2,vector4_poly5_sparse_fixed_range_experimental,yes,0.309300,8192,8192,100,536870912,21.335273,1735.761
2,vector4_affine_sparse_fixed_range_experimental,yes,0.309800,8192,8192,100,536870912,21.300839,1732.960
2,vector4_affine_loaded_fixed_range_experimental,yes,0.309500,8192,8192,100,536870912,21.321486,1734.639
2,vector4_affine_half_output_loaded_experimental,yes,0.257100,8192,8192,100,402653184,25.667056,1566.135
2,vector4_affine_half_output_sparse_experimental,yes,0.257100,8192,8192,100,268435456,25.667056,1044.090
2,vector4_affine_half_output_packed_experimental,yes,0.257200,8192,8192,100,402653184,25.657076,1565.526
2,compact_xw_affine_half_output_experimental,yes,0.168800,8192,8192,100,268435456,39.093602,1590.257
2,compact_half_xw_affine_half_output_expected_fail,no_expected,0.120900,8192,8192,100,201326592,54.582299,1665.232
2,compact_u16_xw_affine_half_output_experimental,yes,0.123800,8192,8192,100,201326592,53.303716,1626.224
2,compact_u8_xw_affine_half_output_experimental,yes,0.105000,8192,8192,100,167772160,62.847619,1597.830
2,compact_u8_xw_affine_u8_xw_output_experimental,yes,0.024100,8192,8192,100,67108864,273.817427,2784.600
2,decode_u8_xw_output_to_float_experimental,yes,0.196600,8192,8192,100,301989888,33.565615,1536.063
2,consume_float_output_experimental,yes,0.212300,8192,8192,100,335544320,31.083373,1580.520
2,consume_u8_xw_output_experimental,yes,0.026800,8192,8192,100,100663296,246.231343,3756.093
2,compact_u4_xw_affine_half_output_expected_fail,no_expected,0.099800,8192,8192,100,150994944,66.122244,1512.975
2,pack_xw_setup_experimental,yes,0.256900,8192,8192,100,402653184,25.687038,1567.354
2,compact_xw_with_gpu_pack_pipeline_experimental,yes,0.444100,8192,8192,100,536870912,14.859266,1208.896
2,pack_u16_xw_setup_experimental,yes,0.211100,8192,8192,100,335544320,31.260066,1589.504
2,compact_u16_xw_with_gpu_pack_pipeline_experimental,yes,0.352800,8192,8192,100,469762048,18.704649,1331.525
2,pack_u8_xw_setup_experimental,yes,0.182500,8192,8192,100,301989888,36.158904,1654.739
2,compact_u8_xw_with_gpu_pack_pipeline_experimental,yes,0.309900,8192,8192,100,436207616,21.293966,1407.575
2,compact_u8_xw_u8_output_with_gpu_pack_pipeline_experimental,yes,0.249200,8192,8192,100,335544320,26.480738,1346.486
2,compact_u8_xw_u8_output_decode_with_gpu_pack_pipeline_experimental,yes,0.435500,8192,8192,100,603979776,15.152698,1386.865
2,vector4_affine_loaded_float_consumer_pipeline_experimental,yes,0.578700,8192,8192,100,872415232,11.403145,1507.543
2,compact_u8_xw_u8_output_consumer_with_gpu_pack_pipeline_experimental,yes,0.286800,8192,8192,100,469762048,23.009066,1637.943
